,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4791,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.0,49.65
865,1,1,0,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,80.6,319.15
1294,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.75,270.95
4519,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6252.7
9,0,1,0,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95
2960,0,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.75,2095
1242,1,0,2,DSL,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,28.5,629.35
4883,0,0,2,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,29.4,221.9
1989,1,0,2,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),46.35,1662.05
5285,1,1,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),80.7,5705.05
3394,0,1,1,DSL,Yes,Yes,No,No,No,No,One year,0,Electronic check,61.55,1581.95
6900,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.0,4905.75
1834,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,45.1,45.1
1958,0,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.85,2048.8
396,1,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3694.7
6374,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.7,1482.3
2127,1,0,2,DSL,Yes,Yes,Yes,No,No,No,One year,1,Electronic check,42.35,1716.45
5971,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.0,1374.2
1829,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.85,572.45
5071,1,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),75.35,75.35
4325,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.75,20.75
746,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.95,8196.4
5290,1,0,2,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),59.7,4122.65
6044,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.6,893
2489,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Electronic check,78.45,5333.35
5498,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,46.0,46
3734,0,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),108.1,7774.05
7015,1,1,0,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.2,2874.45
3055,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),75.2,3678.3
5773,0,1,0,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,60.55,1982.6
70,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05
4741,1,1,0,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,1285.05
3879,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,45.75,45.75
5889,1,0,2,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.25,2997.45
1741,0,1,1,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1212.1
1368,0,1,0,Fiber optic,Yes,No,Yes,Yes,No,No,One year,0,Electronic check,84.4,4484.05
6099,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.7,1810.55
5077,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.85,144.15
661,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.25,428.7
4066,0,1,1,DSL,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),64.65,3665.55
1099,1,1,1,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,55.7,259.4
4245,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.7,1275.85
3836,1,1,1,DSL,No,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),58.35,3756.45
5255,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.05,2227.8
882,0,1,0,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,83.9,497.55
5323,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.2,6225.4
1707,0,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,73.85,196.4
5160,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,74.35,74.35
6372,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.5,96.85
3607,0,1,0,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,55.15,742.9
1,0,1,0,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5
6095,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,67.55
1016,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Mailed check,80.1,5585.4
621,0,1,1,Fiber optic,Yes,Yes,Yes,No,No,No,One year,1,Electronic check,92.05,5755.8
2544,1,1,1,DSL,Yes,No,Yes,No,Yes,Yes,One year,0,Electronic check,78.85,876.75
4042,0,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,51.35,262.3
3207,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.65,92.05
5172,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.0,1149.65
1047,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,50.25,152.3
6607,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.3,25.3
5699,0,1,0,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,85.3,1219.85
4679,1,1,1,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),86.4,6058.95
2267,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.65,8124.2
283,0,1,1,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,54.45,3687.75
5393,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.6,70.6
3546,1,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Electronic check,83.2,6126.1
558,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.2,760.05
3308,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.2,387.9
2811,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,757.95
2177,1,1,1,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),102.65,7550.3
2999,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.6,414.95
380,1,1,0,Fiber optic,No,Yes,Yes,Yes,No,No,One year,1,Bank transfer (automatic),86.2,3339.05
470,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,330.6
2663,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),109.15,6557.75
3246,0,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.15,159.15
3161,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.35,324.8
2606,0,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,104.35,3205.6
1100,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,24.8,324.15
3544,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,93.8,3019.5
1931,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),111.8,5809.75
5201,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,19.9,164.6
5131,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,96.1,4364.1
401,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.05,237.7
3988,0,1,1,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,1,Credit card (automatic),81.15,4126.2
1656,0,1,1,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,90.8,4921.2
1788,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.6,1134.25
1266,0,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,80.25,303.7
7012,1,1,1,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,84.95,5150.55
4980,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.6,548.8
6698,0,1,0,Fiber optic,No,Yes,No,Yes,No,Yes,One year,1,Credit card (automatic),89.6,3488.15
5295,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),108.75,5431.9
4496,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.75,6595.9
490,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),104.8,6597.25
1174,0,1,1,DSL,No,Yes,No,No,No,No,One year,1,Mailed check,54.25,773.2
6164,1,1,1,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),75.15,3480.35
2963,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.6,917.15
4670,1,0,2,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),35.05,1620.25
274,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.6,70.6
5536,0,0,2,DSL,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),34.7,296.1
2334,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.05,1391.15
2948,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,4259.3
5437,0,1,1,DSL,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,61.6,1174.35
6012,1,1,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,83.6,404.2
3299,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),117.2,8035.95
6026,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.45,232.1
3115,0,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,84.45,1058.6
2360,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.05,1263.9
4048,1,0,2,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Mailed check,59.75,3624.35
3354,0,0,2,DSL,Yes,No,No,Yes,No,Yes,One year,0,Bank transfer (automatic),44.1,2369.7
778,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),107.0,6152.3
6202,1,1,1,DSL,Yes,Yes,No,Yes,Yes,No,One year,0,Mailed check,77.5,1625
1426,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,1,Electronic check,92.0,6585.2
3890,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,109.25,8109.8
195,1,1,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,96.55,1901.65
2523,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.25,873.4
2681,1,0,2,DSL,Yes,No,Yes,Yes,No,No,Two year,0,Credit card (automatic),40.4,1842.7
5037,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,79.65,152.7
6516,0,1,0,DSL,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,48.95,48.95
1374,1,1,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.35,3858.05
3600,1,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,84.2,4146.05
5428,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,89.45,853.1
32,1,1,0,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45
952,0,1,0,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,55.1,1253.15
2198,1,1,1,DSL,No,No,Yes,Yes,No,No,One year,1,Mailed check,61.95,1070.7
1519,0,0,2,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,42.6,72.4
2237,1,0,2,DSL,No,Yes,Yes,No,No,Yes,One year,1,Credit card (automatic),45.85,1246.4
2609,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.55,6281.45
5086,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,930.45
2554,0,1,0,DSL,No,No,Yes,No,No,No,Month-to-month,1,Mailed check,50.0,892.7
1391,1,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.8,2440.25
4181,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,101.35,6164.7
6286,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,163.6
3351,0,1,0,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,53.9,834.15
2019,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,104.1,7040.85
6382,1,1,0,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,74.05,2802.3
1836,0,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,96.0,2122.45
4630,0,1,1,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,65.05,1427.55
3662,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,45.15,416.45
729,0,1,1,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),74.2,4805.65
2000,0,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),75.5,637.4
2035,0,1,0,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,63.95,2737.05
4095,0,1,0,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,1,Mailed check,82.3,214.4
1860,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.45,1378.45
1319,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.45,19.45
845,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.55,295.95
3437,0,1,1,DSL,No,Yes,No,No,No,No,One year,1,Credit card (automatic),56.3,2364
405,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.8,1468.75
414,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.65,3545.05
1143,1,1,1,DSL,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),56.8,1074.65
346,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.4,168.2
5296,0,0,2,DSL,Yes,No,Yes,Yes,No,No,One year,1,Credit card (automatic),41.1,2258.25
6638,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,1118.8
3309,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.9,527.5
1591,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),21.1,385.55
2820,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.05,1301.9
1525,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,158.95
5755,1,1,1,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,96.5,1392.25
2428,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),99.25,3777.15
66,1,1,1,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35
1951,1,1,0,DSL,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),50.2,668.85
5528,1,1,0,DSL,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),59.85,2603.95
6328,0,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.75,6367.2
6346,1,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),49.25,49.25
6606,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.0,4026.4
413,0,1,1,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,1,Electronic check,87.35,4473
916,0,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.4,1643.55
1334,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.2,25.2
3972,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),50.9,2298.55
4921,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3767.4
6261,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.45,1297.35
1869,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.1,1734.65
2926,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8182.85
2452,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),74.2,1133.9
1578,0,1,0,DSL,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,59.5,415.95
2757,1,1,1,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,5848.6
5702,1,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),105.1,7548.1
1662,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.75,324.6
2766,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,115.0,7396.15
2918,1,0,2,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Mailed check,43.35,371.4
2964,1,1,1,DSL,Yes,No,No,Yes,No,No,One year,1,Electronic check,58.35,1346.9
5113,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.65,8166.8
5363,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.35,1715.15
5074,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.45,921.3
156,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),84.15,1821.95
2390,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.8,160.05
5878,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,21.2,52.05
942,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),79.85,2001
2809,0,0,2,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,36.65,1315
6498,0,1,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,82.3,82.3
2903,1,0,2,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Mailed check,35.5,432.25
4633,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.05,1709.15
2531,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.45,1681.6
3833,0,1,1,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),74.75,827.05
4062,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.5,70.5
5384,0,1,1,DSL,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,64.4,253
5901,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,84.5,4254.85
1250,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),103.2,5744.35
676,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.55,1203.95
381,0,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.65,50.65
5685,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,19.2,903.7
6134,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),44.7,276.5
5114,0,1,1,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,83.4,4113.7
2980,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.45,1866.45
5779,0,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,1,Electronic check,95.55,3692.85
3924,1,1,1,Fiber optic,No,No,No,No,No,Yes,One year,1,Mailed check,82.05,4029.95
223,1,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,179.35
2719,1,1,0,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),72.6,4084.35
2311,1,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.5,5068.05
3433,0,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,107.75,6521.9
895,0,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.3,2679.7
6118,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,118.2,8547.15
3118,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.5,835.5
5767,1,1,0,DSL,No,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),59.8,3808.2
4331,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.55,1898.1
1459,0,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,99.65,5941.05
6050,1,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,0,Bank transfer (automatic),99.4,5943.65
2374,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,50.6
4611,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.15,1776.45
3996,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,487.05
897,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,5682.25
808,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,101.3,4113.1
2038,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.8,2361.8
4856,1,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,91.15,2995.45
6335,0,1,0,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,69.65,921.4
1661,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),108.8,7082.45
125,0,1,0,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65
2548,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),69.95,562.7
980,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.5,413
6154,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.2,7711.45
1648,1,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,80.95,4859.1
4966,1,1,1,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),50.1,910.45
2954,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,75.45,480.75
3777,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.3,890.5
349,1,1,0,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,0,Bank transfer (automatic),97.0,6430.9
2573,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,54.75,54.75
6269,0,0,2,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,33.45,1175.85
5787,0,1,0,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,87.55,3078.1
2194,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.5,79.5
622,1,1,0,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Electronic check,85.05,3355.65
3934,0,0,2,DSL,Yes,Yes,No,Yes,No,No,One year,0,Mailed check,40.25,411.45
2895,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.85,717.5
1110,0,0,2,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),39.6,2424.5
5198,1,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,80.35,3825.85
