,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3912,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.25,6758.45
5376,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,23.75,424.5
6392,1,0,2,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,49.75,3069.45
5346,0,1,1,DSL,Yes,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),74.6,4798.4
6149,0,0,2,DSL,No,No,No,No,No,No,One year,0,Mailed check,25.85,25.85
682,0,1,0,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),64.4,195.65
2890,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),70.55,3309.25
703,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.55,33.6
1830,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.5,696.8
2610,0,0,2,DSL,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),30.1,1131.3
5643,0,1,0,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,75.9
1402,0,0,2,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.0,553
4560,1,1,1,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Electronic check,90.35,767.9
6002,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,82.85,460.25
4510,0,1,1,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,0,Credit card (automatic),68.15,2656.3
1114,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),98.85,3145.9
4709,0,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,96.85,5219.65
6172,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.1,659.65
3606,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,101.75,7069.3
4825,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,83.05,1799.3
530,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),21.1,490.65
2214,0,1,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,86.3,1180.95
2957,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.3,324.2
4157,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),45.2,492
2702,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.0,44
4089,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.75,706.6
3287,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,One year,1,Electronic check,100.95,1875.55
940,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),21.05,531.55
6892,1,1,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),99.7,4977.2
756,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1253.8
5166,0,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,0,Electronic check,104.0,6363.45
6817,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.85,1872.2
4358,1,1,0,DSL,No,No,No,No,Yes,Yes,One year,1,Electronic check,64.75,877.35
712,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.7,1519
5955,1,1,0,DSL,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),68.4,4855.35
5652,0,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,48.6,48.6
5618,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,215.25
1950,1,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),91.85,5940.85
565,1,1,0,DSL,Yes,No,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),70.85,4973.4
340,0,1,0,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),54.65,1830.1
6927,1,1,1,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),64.4,316.9
747,0,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,75.05,202.9
4035,1,1,1,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),93.25,4631.7
6731,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2
5868,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.0,44
4944,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,24.4,253.9
2454,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,24.55,1719.15
1141,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,98.35
425,1,1,1,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),51.65,2838.55
4556,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,67.75,116.65
1952,1,1,1,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),95.5,1916.2
6037,0,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.4,7031.45
1353,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.35,1359.5
5173,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.8,169.65
601,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.95,47.7
1803,0,0,2,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Mailed check,53.1,1901.25
5558,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.4,8543.25
6215,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,98.25,560.6
2522,1,1,1,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,78.75,3942.45
1041,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.3,360.35
1272,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.45,86.05
4271,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.9,543
3691,1,1,1,DSL,No,Yes,No,No,Yes,No,One year,0,Bank transfer (automatic),63.9,2635
4618,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.75,422.4
4224,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.6,1416.5
780,1,1,0,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),73.35,5154.5
5704,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,1564.4
5358,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.25,331.35
6904,0,0,2,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,43.85,2751
1769,1,1,1,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),93.25,6669.45
5954,0,0,2,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,1,Credit card (automatic),55.0,1165.55
6911,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.1,1087.7
254,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.85,193.05
6733,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.35,1411.35
3535,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),109.2,6741.15
5591,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,88.45,370.65
4788,0,1,1,DSL,No,No,Yes,No,No,No,Two year,0,Credit card (automatic),54.15,3116.15
4061,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),50.1,709.5
82,1,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9
6340,0,1,1,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,1,Credit card (automatic),96.9,2085.45
6583,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.25,412.55
3940,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),25.15,468.35
807,1,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.55,7616
4849,0,0,2,DSL,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,51.35,2075.1
141,0,1,1,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65
5336,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.1,19.1
5608,1,1,0,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),54.15,701.05
2259,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.85,161.65
3556,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.45,113.5
5938,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,108.9,3625.2
4226,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.85,256.6
1422,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.05,7869.05
516,0,1,0,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.3,1546.3
2830,0,1,0,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Electronic check,61.4,3638.25
3249,1,1,0,DSL,No,Yes,Yes,No,No,No,Month-to-month,1,Mailed check,55.55,551.3
2174,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.25,383.65
6371,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.15,553
3027,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.7,137.6
6550,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.1,2249.95
6156,0,1,0,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2193.65
3636,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.7,216.2
6979,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.2,24.2
1744,1,1,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),104.45,4162.05
6873,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),89.05,6185.8
5840,1,1,0,DSL,Yes,No,No,No,No,No,One year,1,Bank transfer (automatic),49.7,2961.4
3222,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),44.9,111.05
232,0,1,0,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,84.6,84.6
6177,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,54.3,195.3
5844,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),70.4,154.8
3025,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,26.3,1688.9
1360,0,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.05,1290
1467,0,1,1,DSL,No,No,No,Yes,Yes,Yes,One year,1,Mailed check,73.75,1756.6
1823,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),73.85,1424.5
5911,1,0,2,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,34.2,256.6
3377,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.05,1629.2
822,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,103.1,4889.3
888,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55
4497,1,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,97.95,5867
6231,1,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,76.4,76.4
6117,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.3,1447.9
2796,1,1,1,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6
4852,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.3,1356.3
4211,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),102.95,2496.7
1888,0,1,0,DSL,No,Yes,Yes,No,No,No,One year,0,Bank transfer (automatic),55.8,1327.85
764,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1292.6
2203,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),104.9,7537.5
2324,1,1,1,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Electronic check,83.05,1258.3
4114,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.95,1028.75
1142,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,775.3
3698,0,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,83.25,4949.1
5431,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,19.8,695.05
4950,1,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,91.65,365.4
5316,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,93.65,4520.15
1949,1,1,1,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),104.6,6885.75
1910,1,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,30.5,167.2
2030,0,1,1,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),60.95,134.6
5751,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.25,1029.8
3747,1,1,1,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,58.5,224.85
589,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,90.4,6668.05
4021,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,20.5
77,1,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25
2643,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,83.35,2757.85
3475,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.3,31.9
3791,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.1,435
2367,0,1,0,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,85.55
4222,0,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),112.2,5031.85
2253,1,1,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),74.4,5360.75
3562,0,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,89.8,502.6
6702,1,1,0,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,85.6,1601.5
6537,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.65,7968.85
5212,1,0,2,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Credit card (automatic),38.5,2763
3250,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.55,184.95
5420,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),114.3,8244.3
6405,0,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),101.4,6176.6
3235,0,0,2,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Credit card (automatic),43.7,2696.55
2884,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),90.15,6716.45
215,1,0,2,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),58.75,3437.45
3825,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,1031.7
392,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,89.3
27,1,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2
754,1,1,0,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,190.5
1815,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.5,1502.25
478,0,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,96.1,453.4
4771,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.4,244.65
6780,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),44.8,559.2
911,0,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Credit card (automatic),89.0,1288.3
6267,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.1,70.1
4823,0,1,0,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,53.95,53.95
1563,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,69.35,261.65
5188,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.5,2917.65
2490,0,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,0,Mailed check,100.55,3895.35
6586,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.65,1171.3
2156,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.55,184.1
6631,1,1,1,DSL,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),55.55,1405.3
2185,1,1,1,DSL,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,54.75,1338.15
2336,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.4,1214.05
6398,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),106.0,7723.7
564,0,1,0,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,0,Bank transfer (automatic),64.3,445.95
4666,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.2,532.1
6937,0,0,2,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,35.75,961.4
4202,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.6,189.45
972,0,1,0,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),70.1,4048.95
5199,0,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.5,5703.25
4782,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,78.75,426.35
4183,0,0,2,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Mailed check,33.6,33.6
6626,1,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,95.75,573.75
4905,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.85,1158.85
5703,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.4,1809.35
3392,1,1,0,DSL,No,No,No,No,No,No,One year,1,Mailed check,44.1,2413.05
4109,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.05,56.35
1000,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,95.35,660.9
3232,1,1,0,DSL,Yes,Yes,No,No,No,No,One year,0,Mailed check,53.65,1939.35
6905,0,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,44.5,1307.8
1020,1,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),51.05,2066
5630,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.45,3994.45
4657,1,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),25.1,1097.15
654,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.65,164.3
5073,0,0,2,DSL,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),49.45,1031.4
6146,0,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.5,2369.05
4151,0,0,2,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,55.0,3094.05
4422,0,1,0,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Bank transfer (automatic),97.0,3021.3
921,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,255.35
3406,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.95,683.25
1614,1,0,2,DSL,Yes,Yes,No,Yes,No,Yes,Two year,1,Bank transfer (automatic),50.95,3521.7
2793,0,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,80.1,336.15
2720,0,1,1,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,51.55,765.5
1955,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),95.4,4613.95
3138,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.3,45.3
2931,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),105.35,3465.05
4444,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75
6942,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),20.0,1396
3744,0,1,0,Fiber optic,No,Yes,No,No,No,No,One year,0,Bank transfer (automatic),75.5,2018.1
3241,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.1,20.1
3804,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,79.85,797.25
6752,0,0,2,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Mailed check,49.85,552.1
5623,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,51.1,2092.9
5003,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,834.2
5405,0,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,103.8,3470.8
3270,0,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Mailed check,100.85,399.25
1219,1,1,1,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),70.45,4300.45
5174,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,80.3,526.7
6567,0,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.7,1566.75
3061,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.4,2483.5
519,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.05,265.45
1729,1,1,1,Fiber optic,Yes,Yes,Yes,No,No,No,One year,0,Bank transfer (automatic),89.45,5692.65
5725,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.65,471.35
2347,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,24.4,203.95
3306,1,1,0,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,80.0,241.3
1380,1,1,0,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),98.45,6145.2
4578,0,1,0,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Mailed check,60.95,629.55
2959,1,1,1,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,0,Electronic check,100.75,2793.55
5482,1,1,0,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,73.9,2405.05
6077,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,113.95,6891.4
2891,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,79.7,79.7
268,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,1099.6
6081,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),49.8,49.8
6592,0,1,0,DSL,No,No,No,Yes,Yes,No,One year,0,Credit card (automatic),59.45,1507
107,0,0,2,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65
3483,0,1,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,77.8,1358.6
5956,0,1,1,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,89.9,2806.9
3134,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.2,702.9
5043,0,1,1,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,90.6,1660
